MINN.HUB
Day Ahead, Real Time, NN Output

Day1
32.96, 29.18, 29.0445199766
36.55, 48.52, 32.2369965594
37.43, 34.62, 39.203536708
30.21, 30.87, 40.5126762428
26.5, 38.57, 34.484526469
23.83, 26.89, 29.5559003677

Day8
23.12, 24.49, 25.0733489226
22.6, 21.47, 27.9391738428
21.91, 25.15, 32.3984272939
21.99, 19.01, 29.8177326066
23.66, 22.11, 19.708196305
26.22, 30.57, 22.8039347396
34.42, 40.62, 66.5032680558
37.32, 29.75, 32.8358296407
37.0, 27.25, 26.4654232608
37.94, 28.67, 57.9814921942
38.34, 25.48, 39.936008253
38.77, 32.0, 35.2681424824
38.51, 52.23, 37.4353034041
41.14, 35.35, 53.0755189061
41.45, 65.85, 35.3671390546
41.43, 63.72, 35.6424551964
40.41, 94.39, 36.7010266587
38.87, 40.39, 33.6535956826
34.58, 47.94, 27.0164372755
35.88, 57.44, 30.6795632715
40.37, 96.9, 36.1087089416
30.85, 36.57, 40.3511591973
25.55, 67.5, 35.9310909861
23.66, 39.82, 30.8264916684

Day9
19.21, 85.05, 7.60155427234
18.1, 35.32, 10.3932401692
18.41, 24.78, 55.6727725621
18.65, 26.51, 16.3617746223
18.9, 27.58, 25.1611691498
22.73, 30.07, 14.54475019
33.52, 27.7, 44.7126262678
37.16, 33.64, 42.5775041765
38.46, 41.9, 23.7673158584
41.24, 49.05, 24.2888292375
44.37, 47.63, 39.9805309236
48.03, 64.35, 50.7341220586
47.96, 50.27, 11.233178174
53.02, 50.08, 65.7447241108
53.85, 73.24, 17.9039195872
51.88, 88.26, 45.3619660319
52.94, 57.23, 47.5016341849
51.93, 38.8, 28.6715340968
46.06, 37.82, 14.0401128797
47.94, 56.02, 19.3397157201
49.4, 46.23, 11.1220518741
39.13, 29.95, 32.0609279238
29.17, 36.41, 41.818321502
26.02, 29.2, 38.3798348484

Day10
24.93, 21.82, 18.9658495053
24.28, 28.81, 21.8065670978
23.77, 23.18, 40.7068751636
23.68, 19.11, 25.1219860174
24.24, 20.39, 21.5036726745
27.31, 24.08, 19.8725785157
32.71, 26.68, 58.8364954309
36.81, 28.68, 36.1160818579
38.97, 41.94, 25.434722401
43.79, 41.04, 46.1003214646
45.61, 46.2, 39.99021053
45.82, 48.03, 40.6205396608
46.9, 44.48, 28.2600936203
47.67, 35.93, 57.6540817497
48.08, 34.9, 29.2087136985
48.07, 35.16, 39.0295393858
48.3, 50.93, 40.587048277
45.12, 36.11, 31.954851106
38.77, 29.38, 22.4128857765
36.58, 26.31, 26.6864236601
42.38, 27.71, 27.3810870567
34.76, 29.06, 37.5623731789
29.11, 24.16, 38.0912705051
25.71, 25.72, 33.5137568036
MICHIGAN.HUB
Day Ahead, Real Time, NN Output

Day1
26.75, 30.82, 23.7903780925
25.63, 35.72, 25.3917814426
25.05, 32.07, 30.9002156017
25.12, 48.67, 30.2144716358
26.59, 35.64, 31.2918497427
30.49, 30.72, 28.7484923848
37.13, 28.31, 66.5819531844
41.55, 30.37, 40.5001071095
44.78, 35.79, 30.0235167238
46.18, 37.35, 54.7647704123
47.27, 42.5, 38.3203154244
47.47, 72.76, 41.8026681739
47.19, 38.27, 34.4736041181
48.01, 35.95, 52.9378694065
48.25, 37.23, 34.361822037
47.58, 36.43, 39.5864981915
44.11, 39.78, 36.0370660351
39.76, 55.5, 31.8130346951
37.29, 65.86, 28.6080830168
44.8, 48.49, 34.3575674377
46.8, 48.86, 30.7714006957
36.21, 30.68, 31.589630637
27.74, 27.78, 33.1408178463
26.68, 36.28, 31.8774097369

Day2
28.89, 25.01, 23.6090125099
27.59, 24.88, 25.5833233014
27.01, 26.0, 31.1716949614
27.8, 39.91, 30.0907409357
30.68, 41.29, 31.2164006861
35.18, 111.43, 28.5901264996
37.64, 29.87, 66.732712648
42.4, 30.55, 40.1585375569
42.64, 33.39, 29.9070372352
45.64, 40.25, 54.8296381166
47.2, 39.35, 38.2908385685
46.33, 49.57, 41.5943142785
48.38, 43.82, 34.6131184604
47.22, 37.67, 53.1171065047
47.66, 41.1, 34.3408680092
47.29, 36.82, 39.2015901374
46.51, 33.74, 35.9780692385
43.52, 40.18, 31.7537639856
38.17, 33.54, 28.9195605294
44.4, 47.74, 34.5346845056
45.37, 31.79, 30.6449309056
37.48, 29.16, 31.8914833538
30.89, 33.88, 33.2037123143
29.17, 32.02, 31.921137106

Day3
30.49, 17.0, 23.7446679553
29.48, 22.71, 25.4835258388
28.14, 32.17, 30.9598231969
29.35, 16.69, 30.1983900057
32.18, 42.57, 31.2718864035
35.88, 33.51, 28.7154485309
40.11, 38.55, 66.6382842411
40.94, 61.1, 40.4083754538
43.41, 32.7, 29.9912020501
47.01, 32.31, 54.8144051326
46.4, 43.61, 38.3159825391
48.82, 32.82, 41.7482604405
52.28, 40.3, 34.5309967785
52.7, 36.32, 52.962948978
51.29, 29.04, 34.3828467946
46.8, 33.12, 39.4816720367
45.06, 28.53, 35.9979152929
41.0, 27.4, 31.795981521
37.16, 27.1, 28.7098355462
40.26, 30.01, 34.4238202758
48.25, 29.5, 30.7515689269
35.82, 27.19, 31.6920400083
32.09, 25.79, 33.1509569263
29.05, 27.47, 31.8830020582

Day4
30.91, 23.42, 23.8251237569
28.5, 27.54, 25.5844782451
27.82, 18.99, 30.878536734
28.67, 23.16, 30.2363509546
30.74, 16.91, 31.2117207967
37.63, 21.11, 28.7204184615
38.9, 27.87, 66.8065419362
42.07, 29.42, 40.2525730105
45.89, 23.14, 29.9844501539
46.04, 28.26, 55.0192933182
47.67, 32.73, 38.3020682882
46.3, 35.13, 41.5796517827
48.27, 30.92, 34.7219131474
47.15, 29.11, 52.9563917338
46.31, 24.41, 34.4571443735
46.12, 27.02, 39.3191095631
43.13, 26.75, 35.9479318862
39.83, 24.02, 31.8211360498
37.04, 24.63, 28.8470089391
40.62, 26.23, 34.5155225381
44.73, 25.94, 30.8802887412
38.5, 24.74, 31.7872378537
32.74, 26.04, 33.1357804801
31.61, 27.62, 31.8492724469

Day5
31.69, 25.3, 24.2832634997
30.69, 23.19, 25.457780634
29.47, 26.85, 30.2378965617
29.69, 25.34, 30.5491339203
30.13, 22.7, 31.2572963949
30.57, 23.41, 29.0323138542
34.44, 26.05, 66.8153739041
39.64, 26.59, 40.6363510808
40.9, 28.57, 30.1841029573
41.55, 25.69, 55.268426074
41.18, 25.5, 38.340658046
41.1, 24.95, 41.7042608283
38.63, 27.66, 34.7934948236
34.06, 24.82, 52.580651186
32.21, 26.81, 34.6539948082
31.15, 29.27, 39.7694406369
31.48, 24.78, 35.9399106137
31.87, 27.93, 31.96573455
