MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
39.46, 26.33, 29.9702, 13.13
43.55, 39.86, 45.6816, -3.69
47.85, 42.05, 37.0801, 5.8
38.44, 37.71, 31.9214, 0.73
32.03, 29.39, 28.1886, 2.64
29.11, 23.46, 28.0982, 5.65

Day3
25.44, 11.73, 26.3051, -13.71
24.03, 14.24, 25.0551, -9.79
23.46, 4.26, 24.5736, -19.2
23.52, 9.54, 27.5599, -13.98
24.73, 14.57, 25.7851, -10.16
28.2, 28.3, 28.9735, 0.1
34.46, 36.31, 45.6175, 1.85
39.15, 58.9, 38.2073, -19.75
39.57, 37.1, 34.8363, 2.47
42.39, 36.8, 51.1041, -5.59
42.99, 53.51, 39.6396, -10.52
43.72, 31.71, 40.6049, 12.01
46.6, 23.52, 37.2843, 23.08
46.64, 30.78, 39.494, 15.86
45.42, 27.44, 36.9216, 17.98
44.01, 26.95, 37.8053, 17.06
41.93, 26.57, 32.409, 15.36
38.92, 26.28, 32.381, 12.64
34.63, 25.99, 29.9702, 8.64
37.75, 28.79, 45.6817, -8.96
42.49, 31.17, 37.0801, 11.32
34.03, 26.02, 31.9215, 8.01
29.06, 24.67, 28.1886, 4.39
27.36, 44.94, 28.0982, 17.58

Day4
27.59, 47.16, 26.3051, -19.57
26.81, 59.12, 25.0551, -32.31
23.8, 49.18, 24.5736, 25.38
24.22, 44.45, 27.5599, 20.23
25.34, 18.2, 25.7851, -7.14
33.31, 5.24, 28.9735, 28.07
41.06, 47.42, 45.6175, 6.36
43.51, 36.6, 38.2073, 6.91
60.97, 19, 34.8363, 41.97
61.26, 32.37, 51.1041, 28.89
62.46, 23.76, 39.6396, 38.7
60.65, 51.24, 40.6049, 9.41
63.37, 34.23, 37.2843, 29.14
59.84, 16.87, 39.494, 42.97
59.04, 11.11, 36.9216, 47.93
56.01, 17.21, 37.8053, 38.8
53.29, 20.83, 32.409, 32.46
51.12, 27.88, 32.381, 23.24
37.45, 32.61, 29.9702, 4.84
40.57, 26.74, 45.6817, -13.83
43.86, 25.23, 37.0801, 18.63
38.07, 23.43, 31.9215, 14.64
31.46, 25.02, 28.1886, 6.44
29.88, 26.34, 28.0982, 3.54

Day5
25.64, 18.85, 26.3051, -6.79
24.66, 17.06, 25.0551, -7.6
23.47, 19.61, 24.5736, -3.86
23.35, 19.54, 27.5599, -3.81
22.94, 26.99, 25.7851, 4.05
23.39, 19.18, 28.9735, -4.21
25.84, 21.92, 45.6175, -3.92
28.66, 25.22, 38.2073, -3.44
36.61, 26.32, 34.8363, 10.29
38.01, 23.52, 51.1041, -14.49
36.62, 22.3, 39.6396, -14.32
35.84, 23.54, 40.6049, -12.3
